Symbol,Security,Sector,Sub-Industry,Date first added
GG,GGUSDT,Cryptocurrency,Digital Asset,2024-09-01
VIC,VICUSDT,Cryptocurrency,Digital Asset,2024-09-01
COM,COMUSDT,Cryptocurrency,Digital Asset,2024-09-01
RATS,RATSUSDT,Cryptocurrency,Digital Asset,2024-09-01
SATS,SATSUSDT,Cryptocurrency,Digital Asset,2024-09-01
ZKF,ZKFUSDT,Cryptocurrency,Digital Asset,2024-09-01
PORT3,PORT3USDT,Cryptocurrency,Digital Asset,2024-09-01
XAI,XAIUSDT,Cryptocurrency,Digital Asset,2024-09-01
ONDO,ONDOUSDT,Cryptocurrency,Digital Asset,2024-09-01
FAR,FARUSDT,Cryptocurrency,Digital Asset,2024-09-01
SQR,SQRUSDT,Cryptocurrency,Digital Asset,2024-09-01
DUEL,DUELUSDT,Cryptocurrency,Digital Asset,2024-09-01
APP,APPUSDT,Cryptocurrency,Digital Asset,2024-09-01
SAROS,SAROSUSDT,Cryptocurrency,Digital Asset,2024-09-01
USDY,USDYUSDT,Cryptocurrency,Digital Asset,2024-09-01
MANTA,MANTAUSDT,Cryptocurrency,Digital Asset,2024-09-01
MYRO,MYROUSDT,Cryptocurrency,Digital Asset,2024-09-01
GTAI,GTAIUSDT,Cryptocurrency,Digital Asset,2024-09-01
OMNICAT,OMNICATUSDT,Cryptocurrency,Digital Asset,2024-09-01
DMAIL,DMAILUSDT,Cryptocurrency,Digital Asset,2024-09-01
AFG,AFGUSDT,Cryptocurrency,Digital Asset,2024-09-01
DYM,DYMUSDT,Cryptocurrency,Digital Asset,2024-09-01
ZETA,ZETAUSDT,Cryptocurrency,Digital Asset,2024-09-01
JUP,JUPUSDT,Cryptocurrency,Digital Asset,2024-09-01
MXM,MXMUSDT,Cryptocurrency,Digital Asset,2024-09-01
DEFI,DEFIUSDT,Cryptocurrency,Digital Asset,2024-09-01
FIRE,FIREUSDT,Cryptocurrency,Digital Asset,2024-09-01
MAVIA,MAVIAUSDT,Cryptocurrency,Digital Asset,2024-09-01
PURSE,PURSEUSDT,Cryptocurrency,Digital Asset,2024-09-01
LENDS,LENDSUSDT,Cryptocurrency,Digital Asset,2024-09-01
ROUTE,ROUTEUSDT,Cryptocurrency,Digital Asset,2024-09-01
BCUT,BCUTUSDT,Cryptocurrency,Digital Asset,2024-09-01
ALT,ALTUSDT,Cryptocurrency,Digital Asset,2024-09-01
HTX,HTXUSDT,Cryptocurrency,Digital Asset,2024-09-01
CSPR,CSPRUSDT,Cryptocurrency,Digital Asset,2024-09-01
STRK,STRKUSDT,Cryptocurrency,Digital Asset,2024-09-01
CPOOL,CPOOLUSDT,Cryptocurrency,Digital Asset,2024-09-01
QORPO,QORPOUSDT,Cryptocurrency,Digital Asset,2024-09-01
BBL,BBLUSDT,Cryptocurrency,Digital Asset,2024-09-01
DECHAT,DECHATUSDT,Cryptocurrency,Digital Asset,2024-09-01
SQT,SQTUSDT,Cryptocurrency,Digital Asset,2024-09-01
PORTAL,PORTALUSDT,Cryptocurrency,Digital Asset,2024-09-01
AEG,AEGUSDT,Cryptocurrency,Digital Asset,2024-09-01
SCA,SCAUSDT,Cryptocurrency,Digital Asset,2024-09-01
